title,score,synopsis,Action,Adventure,Animation,Avant Garde,Award Winning,Biography,Boys Love,Comedy,Crime,Documentary,Drama,Ecchi,Family,Fantasy,Game-Show,Girls Love,Gourmet,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Slice of Life,Sport,Sports,Supernatural,Suspense,Talk-Show,Thriller,War,Western
Carnival Phantasm,7.87,"Carnival Moment time several narratives Type-Moon 's famous works intersect . happens every decade entirely new dimension , never run meet . 's , individuals involved gain opportunity fulfill wishes ! However , come long way , need partake contests . Carnival Phantasm , various characters put situations ridicule worlds . Nevertheless , objective : win contests means necessary ! [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,7.34,"true end arc Ore Imouto . four episodes branch 11th episode main TV series present alternative version end TV series . episodes contrast good end arc TV series , original ending written anime , instead closely follows original story light novels .",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bakuman. 2nd Season,8.35,"serialization new manga , `` Detective Trap , '' writer-artist team , Akito Takagi Moritaka Mashiro , better known pseudonym Muto Ashirogi , one step closer becoming world-renowned mangaka . Mashiro , however , serialization first step . promised marry childhood sweetheart aspiring voice actress , Azuki Miho , manga gets anime adaptation , Mashiro must continue popularize Ashirogi 's work . tremendously competitive cast ambitious mangaka—including wild genius , Eiji Niizuma ; elegant student , Yuriko Aoki , older admirer partner , Takurou Nakai ; lazy prodigy , Kazuya Hiramaru ; abrasive artist , Shinta Fukuda—both support compete Muto Ashirogi creating next big hit . adjust young seemingly untested new editor , dynamic duo struggle maintain current serialization , secure top spot Shounen Jack , ultimately , achieve anime adaptation manga . new rivals friends , Bakuman . 2nd Season continues Takagi Mashiro 's inspiring story hard work young love . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nurarihyon no Mago: Sennen Makyou,7.95,"Long Rikuo Nura born , legendary youkai Nurarihyon , leader `` Night Parade One Hundred Demons , '' fell love human woman . Though two would initially find happiness , threat terrifying fox-demon Hagoromo Gitsune would get way relationship . present , Rikuo taken rightful place heir Nura Clan . accepted youkai side , must continue maintain secret youkai , difficult task faced Keikain onmyouji clan youkai-obsessed friend , Kiyotsugu . Even , Rikuo must protect important . reappearance sinister Hagoromo Gitsune marks start Rikuo 's fearsome trial yet . frightening creature bears personal vendetta family stop nothing see dream come fruition . world stands precipice , all-out war drag Rikuo centerstage . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angel Beats! Another Epilogue,7.45,"Disillusioned afterlife , new student causes scene classroom test expresses doubts whether getting good grades really lead escaping school ascending Heaven . Afterwards , confronted new student council president—a familiar face whose past experiences give powerful insight true nature school first-hand knowledge regarding futility rebellion . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shiki Specials,7.76,"epidemic terrorizes quiet secluded village Sotoba , three women found amidst escalating crisis . Nao Yasumori tormented visions deceased ; Kanami Yano must keep secret risk losing loved one ; Motoko Maeda goes insurmountable grief mysterious illness spreads throughout family . rising tensions testing limits family relationships , even smallest mistakes easily sever ties bind . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,7.72,"Kenji Kamiyama Production I.G 's Ghost Shell : Stand Alone Complex : Solid State Society movie converted stereoscopic 3D . Kamiyama overseeing conversion , I.G also add newly animated opening sequence .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Break Blade Movie 6: Doukoku no Toride,7.68,Sixth final Break Blade movie .,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayo Chiki!,7.24,"Due mother sister , love professional wrestling , Kinjirou Sakamachi developed resilient body could take hard punches , aggressive kicks , even deadly vehicle bumps , order survive various grappling positions locks . However , also developed gynophobia , abnormal fear women . one touch girl , nose bleeds uncontrollably , sweats excessively , rare cases , faints abruptly . life changes worse fated meeting restroom . trying escape girl , discovers popular student school , Subaru Konoe—the butler headmaster ’ daughter , Kanade Suzutsuki—is actually female ! Surprised , Subaru violently assaults Kinjirou , dealing significant damage knocking unconscious . comes , meets Kanade . exchange silence , promises help cure phobia . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seitokai Yakuindomo OVA,7.76,start Takatoshi Tsuda 's second year put-upon vice president student council sister Kotomi entering school first year . New friends double entendres made . ( Source : ANN ),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Usagi Drop,8.37,"Daikichi Kawachi 30-year-old bachelor working respectable job otherwise wandering aimlessly life . grandfather suddenly passes away , returns family home pay respects . Upon arriving house , meets mysterious young girl named Rin , Daikichi ’ astonishment , grandfather 's illegitimate daughter ! shy unapproachable girl deemed embarrassment family , finds ostracized father 's relatives , refusing take care wake death . Daikichi , angered coldness toward Rin , announces take in—despite fact young , single man prior childcare experience . Usagi Drop story Daikichi 's journey fatherhood raises Rin gentle affectionate nature , well exploration warmth interdependence heart happy , close-knit family . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nichijou,8.46,"Nichijou primarily focuses daily antics trio childhood friends—high school girls Mio Naganohara , Yuuko Aioi Mai Minakami—whose stories soon intertwine young genius Hakase Shinonome , robot caretaker Nano , talking cat Sakamoto . every passing day , lives six , well many people around , experience calms normal life insanity absurd . Walking school , bitten talking crow , spending time friends , watching principal suplex deer : day 's work extraordinary everyday lives Nichijou . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otona Joshi no Anime Time,7.36,"Kawamo wo Suberu Kaze Returning Japan visit parents five years abroad , Noriko know expect . things Kanazawa changed things stayed , Noriko help dredge memories youth secrets thought left behind . Yuuge Trapped loveless marriage , Mimi little excitement life rendezvous local garbage man , Kou , turns something . living Kou—but still married someone else—Mimi reflects decisions brought point whether prioritize appearances happiness . Jinsei Best Ten Hatoko Nikawa habit reflecting `` best ten , '' memorable moments life , somewhat dismayed , despite 39 years Earth , best ten moments occurred 18th birthday . Hearing middle school reunion coming , Hatoko hopes reunite first love without knowing much changed whether live expectations . Dokoka Dewanai Koko adult son sleeps day , daughter barely returns home , husband lost job , Maho Katou bears lot stress . Working nights local store support family , little time sleep pleasure . Maho constantly overexerting , may matter time collapses pressure . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kore wa Zombie desu ka? OVA,7.38,Two OVAs released 8th 10th volumes original novel . fall chronologically first second seasons .,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Yondemasu yo, Azazel-san. (TV)",7.51,"Akutabe detective summons devils solve troubles clients . One day , low class devil Azazel Atsushi summoned Akutabe used harshly assistant Rinko .",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.7,"Kingdom Midland , mercenary named Guts wanders land , preferring life conflict life peace . Despite odds never favor , unstoppable force overcomes every opponent , wielding massive sword larger . One day , Griffith , mysterious leader mercenary group Band Hawk , witnesses warrior 's battle prowess invites wandering swordsman join squadron . Rejecting offer , Guts challenges Griffith duel—and , much former 's surprise , subsequently defeated forced join . , Guts must fight alongside Griffith crew help Midland defeat Empire Chuder . However , Griffith seems harbor ulterior motives , desiring something much larger settling war ... [ Written MAL Rewrite ]",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamayura: Hitotose,7.32,"last year middle school , Fuu Sawatari trouble dealing emotions following sudden death father . help brother childhood friend , rediscovered love photography , activity father often together . addition , decided attend high school Takehara , father 's hometown place often visited younger . one month since Fuu moved Takehara became close current group friends : carefree Kaoru Hanawa , excitable Norie Okazaki , quiet Maon Sakurada . Together several acquaintances around town abroad , Fuu continues mission capturing joys everyday life using father 's camera , also helping friends discover passions . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pretty Rhythm: Aurora Dream,7.4,"Aira Harune , clumsy yet happy-go-lucky girl , suddenly dragged popular world Prism Shows—an idol show based figure skating , performers called `` Prism Stars '' wear outfits encased Prism Stones perform stylistic Prism Jumps . Captivated dazzling fashion gorgeous Prism Jumps , Aira decides become Prism Star . soon encounters hot-headed Rizumu `` Rhythm '' Amamiya , desires perform legendary Prism Jump “ Aurora Rising ” ; well prideful Mion Takamine , dreams becoming brightest Prism Star rest . journey girls marked friendship , growth , unexpected encounters . perform Prism Jumps high enough reach dreams become next Prism Queens ? [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,"Owing increasing debt , Kaiji Itou ends resuming old lifestyle . One day , walking street , stumbles upon Yuuji Endou , hunting Kaiji due money owes Teiai Group . Unaware , Kaiji eagerly follows Endou , hoping chance participate another gamble , soon finds loan shark 's real intentions kidnapped . Given Kaiji unable pay huge debt , Teiai Group instead sends work underground labor camp . told live hell 15 years , alongside debtors , earn freedom . hope put early end nightmare saving enough money able go back surface single day . , plans obtain remaining money needed settle account making high-stakes wager . However , many temptations threaten scarce income , Kaiji may resort gambling sooner expected . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The iDOLM@STER,7.61,"765 Production Studio manages unique talents 13 professional idols slowly make way top become country-wide celebrities . girls ' journey far fun games : hard work , sweat , tears prerequisites needed flourish industry—and 765 Pro particular , watchful eye rival , infamous 961 Production . girls ' fame grows , however , time together family diminishes , popularity sought threatening tear apart . difficult balance work bonding must achieved , risk everyone going separate ways . personal professional ordeals idols conquered alone , 's loving support , obstacle hardship overcome ! [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Towa no Quon 1: Utakata no Kaben,7.3,"Living amongst rest humanity , small number people known `` Attractors '' possess strange powers . Fearful dangerous mutations , highly secretive organization named Custos uses cyborgs group called WTOC exterminate Attractors injure anyone disrupt social order . Conversely , inside theme park Fantasium Garden , hidden group Attractors want save people eradicated Custos . Led ever-optimistic Quon Mitsuchi , Attractors take intense fights Custos 's WTOC hopes protecting existence kind . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Kimi to Boku.,7.66,"Four childhood friends second year Homare High School : kind cheerful Shun Matsuoka , hot-tempered Kaname Tsukahara , Asaba twins , gentle Yuuta lazy Yuuki . dynamic transfer student , Chizuru Tachibana , joins group , friends get caught creative yet troublesome ideas end bringing excitement everyday lives . new encounters experiences , begin learn . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Seitokai no Ichizon Lv.2,7.35,"Sugisaki Ken , diligence academic excellence , successfully entered paradise Hekiyou Private Academy 's Student Council . , boldly embarks plan create personal harem 4 girls council members , namely : incredibly youthful president Sakurano Kurimu ; cool kindly yet super-sadistic secretary Akaba Chizuru ; Tomboyish hot-blooded vice-president Shiina Minatsu ; ephemerally beautiful yet complicated treasurer Shiina Mafuyu . every day since non-stop fun , Graduation Day looms near . Could spell end carefree days ? ( Source : translated adapted official site Cranston )",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sayonara Zetsubou Sensei Special,7.47,"new special episode distributed purchase three Blu-ray box sets Sayonara Zetsubou Sensei series January 31 , 2012 .",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beelzebub Specials,7.34,Beelzebub specials included BD/DVD releases .,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Yuru Yuri,7.57,"year grade school without childhood friends , first year student Akari Akaza finally reunited second years Yui Funami Kyouko Toshinou all-girls ' middle school . duo 's first year , Yui Kyouko formed `` Amusement Club '' occupies nonexistent Tea Club 's room . Shortly Akari joins , one fellow classmates , Chinatsu Yoshikawa , pays trio visit impression Tea Club ; three girls explain Tea Club disbanded convince Chinatsu join Amusement Club—a group purpose provide entertainment members . Based slice-of-life manga Namori , Yuru Yuri eccentric comedy group girls spend spare time drinking tea fawning , completely failing even notice supposed main character Akari amongst . [ Written MAL Rewrite ]",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ojiisan no Lamp,7.52,"young boy named Tooichi stumbles upon old lamp grandfather 's shed , mistakes toy takes outside play . grandfather discovers , reprimands boy begins recounting story behind artifact—of small , traditional Japanese town became Westernized . youth , Tooichi 's grandfather , Minosuke , made living errands chores townspeople . one errand takes nearby town , witnesses Western lamps—a technology unfamiliar him—light streets , igniting spark young boy . moment , lamps became Minosuke 's passion profession , changing townspeople 's lives forever . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Working'!!,7.82,"exciting antics Wagnaria return ridiculous incidents occur , friendships deepened , new feelings discovered . addition Souta Takanashi wacky co-workers , eccentric personalities join family restaurant : Haruna , Hyougo Otoo 's missing wife , habit getting hopelessly lost sewer system ; Kirio Yamada , Aoi 's older brother , able withstand Mahiru Inami 's deadly punches ; twins Youhei Mitsuki Mashiba , Kyouko Shirafuji 's juniors get along . Absurdity , romance , hilarity menu Wagnaria family restaurant ! [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,7.31,Another Detective Conan Magic File .,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,7.46,"Tanjou ! Buchou Shiraishi Kuranosuke ( New Captain , Kuranosuke Shiraishi ) order maintain club status Shitenhouji Middle School , coach tennis team orders new members must recruited else able participate tournament year . team begins target freshman named Hikaru Zaizen , yet join club . Due indifference jokes campus centered around comedy , Zaizen stands rest student body . Determined meet quota , tennis team makes goal recruit Zaizen club make laugh time , proves difficult affair realize . Seishun Gakuen Nanafushigi ( Seishun Academy 's Seven Mysteries ) said seven legendary mysteries Seishun Academy . Takeshi Momoshiro begins retell tales first years tennis club , third years promptly leave club room hurry . asked strange behavior , Shuusuke Fuji confides string incidents first year related stories . Kyuushuu Nitsubasa ( Two Wings Kyushu ) West Japan Tennis Tournament , Shitenhouji Middle School tennis team runs Kippei Tachibana Senri Chitose—the doubles pair known colloquially `` Two Wings Kyushu . '' Coincidentally , Shitenhouji 's first-round opponents competition team Tachibana Chitose . Kuranosuke Shiraishi Kenya Oshitari end playing two , history legendary doubles pair begins unravel . Jirou Mezame ( Jirou 's Awakening ) regulars Hyoutei Academy Tennis Team annoyed much one members , Jirou Akutagawa , sleeps practices . One day , Gakuto Mukahi Yuushi Oshitari decide follow Jirou around see could causing teammate immense fatigue . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Persona 4 the Animation,7.5,"Serial murders recently plagued Inaba , police struggling find leads . Despite , due parents going abroad work , Yuu Narukami moves small town live uncle year . enrolls Yasogami High School , meets befriends Yousuke Hanamura , Chie Satonaka , Yukiko Amagi . hanging together school , group fills Yuu urban legend known `` Midnight Channel '' —a mysterious TV channel appears midnight rainy days viewer alone . Curious claim , Yuu decides tune night , see next victim serial murders appear screen instead . also finds drawn TV , intrigues newfound friends enough want investigate . Yuu ends falling world within TV , blanketed thick fog swarming hostile creatures known `` Shadows . '' Realizing world somehow connected murders , Investigation Team forms goal uncovering mystery behind incidents . [ Written MAL Rewrite ]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mirai Nikki (TV),7.43,"Yukiteru Amano shy middle schooler regularly keeps track daily life writing activities phone—a digital diary . Despite friends school , Yukiteru frequently seen talking supposedly imaginary friends Deus Ex Machina , god time space ; Deus ' servant , Mur Mur . One day , Yukiteru wakes discovers certain events day preemptively displayed cellphone . initially dismissing coincidence , slowly realizes incidents written phone actually take place near future . spending day benefiting new asset , Yukiteru learns classmate Yuno Gasai possesses similar diary . two team defeat odd pursuer head back respective homes , Deus Ex Machina explains they—alongside 10 contestants—have drawn survival game whose victor become deity 's successor . options , Yukiteru Yuno must use cellphones—now called `` Future Diaries '' —to survive unforgiving battle royale . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mardock Scramble: The Second Combustion,7.33,"Rune Balot weeping trying save severely injured Oeufcoque Shell 's assassin Boiled . Luckily , Doctor Easter finally shows Humpty Dumpty – special militarized vehicle made protecting Welfare cases lives threatened . go Paradise , Scramble 09 technology ( Boiled 's rebirth ) developed . secrets past Mardock City ( possibly future ) revealed riveting second part Mardock Scramble series , upping stakes making Balot choose justice peace within Paradise instead . ( Source : witch theatregoing )",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tibet Inu Monogatari,7.24,"death mother , Tenzin decided leave town live father Tibetan grasslands . Life tough first , one day young man witnesses fight Tibetan guard dogs dog golden hairs outside pack .",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detective Conan OVA 11: A Secret Order from London,7.4,"Diana invites Kogorou Ran London , since Conan travel invented name , Ai gives temporary antidote , letting travel Kudou Shin'ichi . Together Professor Agasa plane London . Back Japan , Ai lives Ayumi . Near apartment , suspicious man clothed black named Kurokawa Youji trying track found Ai . Shortly Mitsuhiko notices picture magazine foreign actress named Grace Aihara , looks exactly like Ai , Conan calls , ominously instructing Mitsuhiko keep Ai away Professor 's house . , Mitsuhiko Genta go trying protect Ai ... ( Source : foo2 )",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Towa no Quon 3: Mugen no Renza,7.43,story follows boy named Quon others suddenly wake supernatural powers .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Towa no Quon 5: Souzetsu no Raifuku,7.49,story follows boy named Quon others suddenly wake supernatural powers .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Towa no Quon 6: Towa no Quon,7.58,story follows boy named Quon others suddenly wake supernatural powers .,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mawaru Penguindrum,7.95,"Takakura family , destiny ever-spinning wheel , pointing passionately direction equal tides joy sorrow ticking next wishmaker . parents gone , twin brothers Kanba Shouma live alone beloved little sister Himari , whose poor health decline . day Himari given permission temporarily leave hospital , brothers take aquarium celebrate , family 's supposed fate brought forth sudden collapse . However , Himari inexplicably revived penguin hat aquarium 's souvenir shop , hand fate continues tick faithfully forward . miraculous recovery , though , comes cost : new entity within body , whose condition keeping fate bay sends boys wild goose chase mysterious `` Penguin Drum . '' search , boys follow threads fate leading shocking past lives wishmakers vying Penguin Drum , hoping land upon chosen destiny . [ Written MAL Rewrite ]",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,7.42,"Following Nationals , Seishun Academy receives invitation participate junior tennis tournament Wimbledon . England , Ryouma Echizen teammates joined rivals Hyoutei Academy , Shitenhouji Middle School , Rikkai University-Affiliated Middle School , also invited special event . One evening start tournament , players attacked group thugs , leaving hospitalized injuries . evidence distinguishing assailants silver ring member wears hand leader 's name Keith . effort stop gang , middle school students convene discuss options interrupted Ling Xiu , person saved Ryouma night . Xiu identifies former member Clack—a band tennis players banned official competition due violent playstyles conduct . students warned stay affairs Clack hope win tennis style . Frustrated situation , Ryouma sneaks Xiu confront Keith members Clack intent take single-handedly . Knowing Xiu 's true objective , Ryouma determined ever defeat Keith save latter . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hikaru no Go: Sabaki no Ikkyoku! Inishie no Hana yo Sake!!,7.36,Alternate version story featured episode 64 Hikaru Go .,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kore wa Zombie desu ka? of the Dead,7.5,"Aikawa Ayumu revived zombie cute necromancer Eucliwood Hellscythe . zany , madcap adventures first season Zombie ? ended , Ayumu thought life might finally get back normal , normal zombie . However , destiny plans . guys ca n't catch break . ( Source : FUNimation )",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chihayafuru,8.19,"child , Chihaya Ayase one dream : see elder sister Chitose become Japan 's successful model . However , upon defending ostracised classmate Arata Wataya bully—Chihaya 's childhood friend Taichi Mashima—she discovers world competitive karuta soon becomes enamoured sport . Based Ogura Hundred Poets anthology , card game poems studied requires excellent memory , agility , tremendous endurance players . Full hope , Chihaya joins Shiranami Society together newly reconciled Arata Taichi , embarking exciting journey title awarded top-ranked female player—Queen Karuta . Since middle school , Chihaya grew distant dispassionate Taichi separated Arata . However , order improve skills , Chihaya decides create karuta club high school . help Taichi , another veteran player , spirited newcomers , Chihaya 's new-founded Mizusawa Karuta Club aims victory Omi Shrine 's national championship . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ikoku Meiro no Croisée The Animation: Ongakkai ""Récital""",7.33,"According official website , episode 4.5 Ikoku Meiro Croisée included third volume Blu-ray & amp ; DVD . episode streamed limited time ShowTime , official online streaming site Ikoku Meiro Croisée .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kami nomi zo Shiru Sekai: 4-nin to Idol,7.29,"Eli , Chihiro , Miyako try form band end looking Katsuragi help . process meet Kanon become friends/ rivals . ( Source : ANN )",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Steins;Gate: Oukoubakko no Poriomania,8.29,"months events Steins ; Gate , Rintarou Okabe group friends invited tag along acquaintance Faris NyanNyan , participating Rai-Net battle event United States . , meet old colleague : Kurisu Makise , recalling fragmented memories events happened world lines form dreams . confronts Okabe , questioning whether events—particularly incidents two them—did indeed happen . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saki Achiga-hen: Episode of Side-A,7.32,"Achiga Girls ' Academy Nara defeated regional mahjong powerhouse Bansei High School . advanced national team semifinals lost eventual champion , mahjong club later disbanded . Six years later , elementary school student Shizuno Takakamo befriends transfer student Nodoka Haramura . two eventually enter Achiga Girls ' , Nodoka transfers school second year . Shizuno sees Nodoka television following year national middle school individual mahjong champion , decides revive Achiga 's mahjong club .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hourou Musuko Specials,7.59,full versions episodes 10 11 previously edited together episode 10 TV series .,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam: The Origin,8.33,"year 0068 Universal Century , Casval Rem Deikun 's life thrown chaotic disarray assassination father , prolific figure crusade towards civil rights people live away Earth 's surface . Casval sister Artesia receive aid soldiers loyal father , siblings whisked away home , separated , thrown twisted fate sees come soldiers adults . Years stealing name Char Aznable `` Red Comet '' moniker , Casval must contend rise militarized version father 's ideology vengeful nature intergalactic war molds legendary mobile suit pilot . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,7.41,"Raimon team invited Fifth Sector strangely soccer camp . agree , things go hand since revealed Fifth Sector wants eliminate island called God Eden . , Raimon team needs train harder able show strength fight back prove Fifth Sector 's doings wrong . ( Source : Inazuma Eleven Wiki )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
