title,genre,score,synopsis
CSI: Vegas,"Crime, Drama, Mystery",7.5,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City."
Wu-Tang: An American Saga,"Biography, Drama",8.3,"The show tracks the Wu Tang Clan's formation, a vision of Bobby Diggs, who strives to unite a dozen young Black men who are torn between music and crime but eventually rise to become the unlikeliest of American success stories."
Frasier,Comedy,8.2,"Dr. Frasier Crane, a successful Boston therapist, moves to Seattle to get a new start on life. He has a radio talk show, which he uses to relay his wit and wisdom to others, but at times he struggles with his own problems with his salt-of-the-earth father, his pretentious brother, and his friends and co-workers."
The Sandman,"Drama, Fantasy, Horror",7.7,"A wizard attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. Fearful for his safety, the wizard kept him imprisoned in a glass bottle for decades. After his escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power."
"Murder, She Wrote","Crime, Drama, Mystery",7.1,"Former high school English teacher and famed mystery writer Jessica Fletcher (Dame Angela Lansbury) has a gift for solving mysteries. You see, it seems murder follows her around, whether it be to the houses of her seemingly endless number of friends, nieces, and nephews, or right in her hometown of Cabot Cove, Maine. Jessica is sometimes assisted by her friend Dr. Seth Hazlitt (William Windom) or the local Sheriff, Amos Tupper (Tom Bosley) and Tupper's successor, Mort Metzger (Ron Masak), a former New York City cop. Sometimes, later in the series, Jessica would only serve as narrator. In later seasons, Jessica moved to Manhattan to teach criminology at Manhattan University."
One Tree Hill,"Drama, Romance, Sport",7.8,"This series follows the eventful lives of some high-school kids in Tree Hill, a small but not too quiet town in North Carolina, where the greatest source of pride is the high school basketball team, the Ravens, since living memory coached by old Whitey Durham. Its greatest talent ever was Dan Scott, who now runs a successful car dealership. The present talents are his two sons, Nathan Scott, a beautiful and popular athlete, the absolute star, who was molded and stifled by his proud dad, ambitious Dan Scott, who pushes him harder then even the coach approves of, but rather neglected by his spoiled, impulsive mother Deb, an alcoholic, and Lucas, abandoned at birth with his devoted mother, hard-working café-owner Karen Roe, who grew up with Dan's older but poor brother Keith as substitute father as a social reject, only playing hoops on a public yard in the park with street-kids, his passion being reading; when an incident forces the coach to replace suspended players, Lucas soon proves the revelation, and after a while gets accepted and develops a dynamic, in the long run good relationship with his brother, who turns on his dad. Of course the teenage boys have friends, and especially a confusing series of usually short-loved 'eternal' love affairs with musical talents Peyton and Haley, also a tutor, and irresistible man-eater Brooke..."
The 100,"Drama, Mystery, Sci-Fi",7.6,"The series is set 97 years after a devastating nuclear war wiped out almost all life on Earth. The only known survivors are the residents of twelve space stations in Earth's orbit prior to the war. The space stations banded together to form a single massive station named ""The Ark"", where about 2,400 people live. Resources are scarce and all crimes no matter their nature or severity are punishable by death (""floating"") unless the perpetrator is under 18 years of age. After the Ark's life support systems are found to be critically failing, one hundred juvenile prisoners are declared ""expendable"" and sent to the surface in a last ditch attempt to determine if Earth is habitable again. The teens arrive on a beautiful planet they have only seen from space. Confronting the dangers of this rugged new world, they struggle to form a tentative community. However they discover that not all humanity was wiped out. There are people on Earth who survived the war, called ""grounders"" by the 100. The Ark consists of the space stations previously representing the nations of the UK, USA, Australia, Canada, China, Japan, India, Russia, Venezuela, France, Brazil, and Uganda."
Smallville,"Action, Adventure, Drama",7.5,"After a meteor shower bursts from the heavens, raining destruction on the unsuspecting citizens of Smallville, years pass, and the healing process leaves the town's inhabitants with scars and secrets. From the ashes of tragedy, a popular yet awkward teen attempts to decipher the meaning of his life and his clouded past. As he struggles with the transition from boyhood to adulthood, Clark finds that his strength and strange abilities set him uncomfortably apart from his peers."
Curb Your Enthusiasm,Comedy,8.8,"He's got it all: a loving wife, good friends, a successful career, a great home...what could possibly go wrong for Larry David? Seinfeld co-creator Larry David stars as himself in this hilarious, off-kilter comedy series that presents an unflinching, self-deprecating depiction of his life."
Dark,"Crime, Drama, Mystery",8.7,"The first German production from the world's leading Internet TV Network is set in a German town in present day where the disappearance of two young children exposes the double lives and fractured relationships among four families. In ten hour-long episodes, the story takes on a surprising twist that ties back to the same town in 1986."
Downton Abbey,"Drama, Romance",8.7,"Lord Robert Crawley, Earl of Grantham (Hugh Bonneville) sees his family heritage, especially the grand country home Downton Abbey, as his mission in life. The death of his heir aboard R.M.S. Titanic means distant cousin Matthew Crawley (Dan Stevens), a Manchester lawyer, suddenly is next in line and accepts moving onto the vast estate with his even more modernist, socially engaged mother, who clashes with his Lordship's domineering, conservative mother, the dowager countess. Marrying off the daughters is another concern. Meanwhile, the butler presides over a staff which serves the family, but also lead most of their entire lives in the servants' quarters, intriguing amongst themselves."
Scrubs,"Comedy, Drama",8.4,"Set in the fictional Sacred Heart hospital in California, John ""J.D"" Dorian makes his way through the overwhelming world of medicine, with the help of his best friend, his fellow rookie doctors, and the arrogant, but brilliant attending physician he views as his mentor."
Extraordinary,"Action, Adventure, Comedy",7.8,"Jen, a young, self-aware woman who lives in a world where everyone has a superpower except her."
Night Court,Comedy,7.7,"Judge Harold T. Stone presides over ""Night Court"", a court which deals with petty crimes which can be dealt with in a dime-a-dozen manner. Invariably, the cases appearing before the court are bizarre, but that's ok because Judge Stone is not your regular judge. He's assisted by a motley crew of clerks and District Attorneys who often create as much chaos as the criminals they bring in for trial."
Justified,"Action, Crime, Drama",8.6,"U.S. Marshal Raylan Givens is a modern day nineteenth century-style lawman, enforcing his brand of justice in a way that puts a target on his back with criminals, and places him at odds with his bosses in the Marshal service. That conflict results in a reassignment for Givens to the U.S. District covering the town where he grew up. He is an anachronism, a tough, soft-spoken gentleman who finds his quarry fascinating, but never gives an inch. Dig under his placid skin and you'll find an angry man who grew up hard in rural Kentucky, with an outlaw father, who knows a lot more about who he doesn't want to be than who he really is."
Gunsmoke,Western,8.1,"Marshal Matt Dillon is in charge of Dodge City, a town in the wild west where people often have no respect for the law. He deals on a daily basis with the problems associated with frontier life: cattle rustling, gunfights, brawls, standover tactics, and land fraud. Such situations call for sound judgement and brave actions: of which Marshal Dillon has plenty."
Orange Is the New Black,"Comedy, Crime, Drama",8.1,"Piper Chapman is a public relations executive with a career and a fiance when her past suddenly catches up to her. In her mid-30s she is sentenced to spend time in a minimum-security women's prison in New York for her association with a drug runner 10 years earlier. This Netflix original series is based on the book of the same title. Forced to trade power suits for prison orange, Chapman makes her way through the corrections system and adjusts to life behind bars, making friends with the many eccentric, unusual and unexpected people she meets."
Arrow,"Action, Adventure, Crime",7.5,"After many years in a sheltered, rich boy life, Oliver Queen is stranded on an island after his father's yacht crashes. He must learn to survive on his own, five years later he is found alive and well after he was presumed to be dead. After he returns to his home city of Starling City, he begins his crusade to rid his home city of nasty villains, drug dealers, mob bosses, and criminals by becoming an arrow shooting vigilante."
Halo,"Action, Adventure, Sci-Fi",7.1,Aliens threaten human existence in an epic 26th-century showdown.
Once Upon a Time,"Adventure, Fantasy, Romance",7.7,"For Emma Swan, life has been anything but a happy ending. But when she's reunited with Henry - the son she gave up for adoption ten years ago - on the night of her 28th birthday, everything changes. The now 10-year-old Henry is in desperate need of Emma's help because he believes from reading a book of fairy-tales that she's the daughter of Snow White and Prince Charming - who sent her away from the Enchanted Forest to be protected from a curse that was enacted by the Evil Queen. Emma initially refuses to believe a word of Henry's story but soon finds that his hometown of Storybrooke, Maine is more than it seems. Because it's in Storybrooke that all of the classic characters we know are frozen in time with no memories of their former selves - except for the Evil Queen, who is Storybrooke's mayor and Henry's adoptive mother Regina Mills. Now, as the epic ""Final Battle"" for the future of both worlds approaches, Emma will have to accept her destiny and uncover the mystery behind a place where fairy-tales are to be believed."
SEAL Team,"Action, Drama, War",7.8,"SEAL Team is a military drama that follows the professional and personal lives of the most elite unit of Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions our country can ask of them. Jason Hayes is the respected, intense leader of the Tier One team whose home life has suffered as a result of his extensive warrior's existence. His team includes his trusted confidant, Ray Perry, the longest-tenured operator with whom Jason shares an ingrained shorthand; Sonny Quinn, an exceptional, loyal soldier with a checkered past who still combats self-destructive tendencies; and Clay Spenser, a young, multilingual, second-generation SEAL with insatiable drive and dedication. Vital to the team's success are troop commander Lt. Cdr. Eric Blackburn, who serves as a leader and confidant both on and off the battlefield; CIA analyst Mandy Ellis, who has sacrificed everything in her drive to root out evil and take down terrorists; and Ensign Lisa Davis, a no-nonsense, take-charge officer. Deployed on clandestine missions worldwide at a moment's notice, and knowing the toll it takes on them and their families, this tight-knit SEAL team displays unwavering patriotism and fearless dedication even in the face of overwhelming odds."
The West Wing,Drama,8.9,"Presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country. Fictional Democratic President Josiah ""Jed"" Bartlet suffers no fools, and that policy alienates many. He and his dedicated staffers struggle to balance the needs of the country with the political realities of Washington, D.C., working through two presidential terms that include countless scandals, threats and political scuffles, as well as the race to succeed Bartlet as the leader of the free world."
Barry,"Action, Comedy, Crime",8.4,"Disillusioned at the thought of taking down another ""mark,"" depressed, low-level hit man Barry Berkman seeks a way out. When the Midwesterner reluctantly travels to Los Angeles to execute a hit on an actor who is bedding a mobster's wife, little does Barry know that the City of Angels may be his sanctuary. He follows his target into acting class and ends up instantly drawn to the community of eager hopefuls, especially dedicated student Sally, who becomes the object of his affection. While Barry wants to start a new life as an actor, his handler, Fuches, has other ideas, and the hit man's criminal past won't let him walk away so easily."
The Leftovers,"Drama, Fantasy, Mystery",8.3,"Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event."
Perry Mason,"Crime, Drama, Mystery",8.3,"Set in 1932 Los Angeles, the series focuses on the origin story of famed defense lawyer Perry Mason, based on characters from Erle Stanley Gardner's novels. Living check-to-check as a low-rent private investigator, Mason is haunted by his wartime experiences in France and suffering the effects of a broken marriage. L.A. is booming while the rest of the country recovers from the Great Depression -- but a kidnapping gone very wrong leads to Mason exposing a fractured city as he uncovers the truth of the crime."
Star Trek: Deep Space Nine,"Action, Adventure, Drama",8.1,"The stable wormhole discovered by the Deep Space Nine crew is known to the Bajoran people as the Celestial Temple of their Prophets. Sisko, as discoverer of the wormhole and its inhabitants, is therefore the Emissary of Bajoran prophesy. The wormhole's other end is in the Gamma Quadrant, halfway around the galaxy from Bajor. That section of space is dominated by the malevolent Dominion. The Dominion is led by the Changelings, the race of shapeshifters to which Odo belongs. As of the beginning of the sixth season, Cardassia has joined the Dominion, and together they are waging war on the Federation and their Klingon allies. The war is quickly becoming the most costly war ever for the Federation, and the Deep Space Nine crew must fight to protect their way of life."
Scandal,"Drama, Thriller",7.7,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor."
The Goldbergs,Comedy,8.0,"Before there were parenting blogs, trophies for showing up, and peanut allergies, there was a simpler time called the '80s. For geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy."
Chicago Med,Drama,7.6,"An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room."
For All Mankind,"Drama, Sci-Fi",8.0,"In an alternative 1969, the world, and especially the United States, watch in shock as the Soviet Union successfully manages to land men on the Moon before the USA does. With that defeat, NASA is presented with a renewed challenge in the space race that they never expected to face. Now, the cold war rivalry takes on a new intensity and grander ambition to reach far further than ever dreamed and with more diverse resources than ever before."
Titans,"Action, Adventure, Crime",7.6,"Titans follows young heroes from across the DC Universe as they come of age and find belonging in a gritty take on the classic Teen Titans franchise. Dick Grayson and Rachel Roth, a special young girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a surrogate family and team of heroes."
Hawaii Five-0,"Action, Crime, Drama",7.4,"Steve McGarrett (Alex O'Loughlin) comes to Hawaii to avenge his father's death, but when the Governor offers his own task force, he accepts. He picks up team members on the way, Danny Williams (Scott Caan), the head detective on his father's case, Chin Ho Kelly (Daniel Dae Kim), a former Honolulu Police Department Detective who was fired for accused corruption, and McGarrett's father's old patrol partner, Kono Kalakaua (Grace Park), a Cadet at the Police Academy who's one week from graduating, Lori Weston (Lauren German), entry to Five-O temporarily, Catharine Rollins (Michelle Borth), a girlfriend of Steve, and Captain Lou Grover (Chi McBride), a former Chicago Police Department Head of S.W.A.T."
BoJack Horseman,"Animation, Comedy, Drama",8.8,"After starring in the popular sitcom ""Horsin' Around"" in the late 80s and early 90s, BoJack Horseman struggles with his deteriorating popularity, depression, addiction, and maintaining the relationships with those he cares about, but can't seem to stop hurting, all while living in the satirical, pun-filled city of Hollywood, California."
Star Trek: Voyager,"Action, Adventure, Sci-Fi",7.8,"The Federation starship USS Voyager, chasing a band of Maquis rebels, enters the dangerous space nebula known as the Badlands. Both ships are transported by a distant space probe to the Delta Quadrant, 75,000 light-years from Federation space. Voyager's crew and the Maquis form an uneasy truce to rescue crewmen of both ships, kidnapped by the probe's builder, the powerful, dying Caretaker. The Maquis ship is destroyed in a battle with the warlike Kazons. To prevent a Kazon aggression against a helpless world, Voyager destroys the space probe. Without the probe, it will take 75 years for Voyager to travel back to Federation space. With the differences between them rendered meaningless by time and distance, The Federation and Maquis crews unite aboard Voyager. Together, they embark on their new mission: to boldly go - home."
Banshee,"Action, Crime, Drama",8.4,"Lucas Hood, an ex-con and master thief, assumes the identity of a murdered sheriff where he continues his criminal activities. His past seems to haunt him by those he betrayed years earlier. This ex-con imposes his own brand of justice where violence erupts at every turn in the not so quiet Amish town of Banshee, Pennsylvania."
Bad Sisters,"Comedy, Drama, Thriller",8.3,The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another.
What We Do in the Shadows,"Comedy, Fantasy, Horror",8.6,"Follow the lives of Viago (Taika Waititi), Deacon (Jonathan Brugh), and Vladislav (Jemaine Clement) - three flatmates who are just trying to get by and overcome life's obstacles-like being immortal vampires who must feast on human blood. Hundreds of years old, the vampires are finding that beyond sunlight catastrophes, hitting the main artery, and not being able to get a sense of their wardrobe without a reflection-modern society has them struggling with the mundane like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
Three Pines,"Crime, Drama, Mystery",7.3,"Following Chief Inspector Armand Gamache as he investigates cases beneath the idyllic surface of the Quebec village, Three Pines, finding long-buried secrets and facing a few ghosts of his own."
Boardwalk Empire,"Crime, Drama",8.6,"Set in the Prohibition era of the 1920s Boardwalk Empire is the story of Enoch ""Nucky"" Thompson, the treasurer of Atlantic County, Atlantic City, New Jersey. Due to his relationships with mobsters as well as political contacts, the Federal Government start to take an interest in him. His lavish lifestyle seems at odds with his position, and as well as his connections, there is prolific bootlegging in the area."
Star Wars: The Clone Wars,"Animation, Action, Adventure",8.4,"Chronicling the events that took place between Star Wars: Episode II - Attack of the Clones (2002) and Star Wars: Episode III - Revenge of the Sith (2005), this show follows the wartime days of Anakin Skywalker (Matt Lanter), Obi-wan Kenobi (James Arnold Taylor), and Yoda (Tom Kane). This show also brings new characters to the forefront of Star Wars canon, including Anakin's apprentice Ahsoka Tano (Ashley Eckstein), and Captain Rex (Dee Bradley Baker)."
Person of Interest,"Action, Crime, Drama",8.5,"A billionaire software-genius named Harold Finch creates a Machine for the government that is designed to detect acts of terror before they can happen, by monitoring the entire world through every cell-phone, email and surveillance camera. Finch discovered that the machine sees everything, potential terrorist acts and violent crimes that involve ordinary people. When the government considered violent crimes between normal people ""irrelevant"", Finch built a back door into the system that gives him the social security number of a person involved in a future violent crime so he could act. Partnered with John Reese, an ex-CIA agent, the two work in secret to prevent violent crimes before they can happen. Eventually their activities lead to being hunted by the New York Police Department, CIA Agents in pursuit of Reese who was listed as dead, a computer hacker named Root who wants access to the Machine, and government officials who want to keep all knowledge of the Machine a complete secret."
Homeland,"Crime, Drama, Mystery",8.3,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake."
Mr. Robot,"Crime, Drama, Thriller",8.5,"Elliot is a brilliant introverted young programmer who works as a cyber-security engineer by day and vigilante hacker by night. He also happens to be suffering from a strange condition similar to schizophrenia which he futilely tries to keep under control by regularly taking both legal and illegal drugs and visiting his therapist. When a strange feisty young woman named Darlene and a secretive middle-aged man calling himself Mr. Robot, who claims to be the mysterious leader of an underground hacking group known as F-Society, offer Elliot a chance to take his vigilantism to the next level and help them take down E-Corp, the corrupt multi-national financial company that Elliot works for and likes to call Evil Corp, Elliot finds himself at the crossroads. Mr. Robot, who has personal reasons for wanting to take down E-Corp, also reveals that he already has one ally, an even more mysterious, secretive and highly dangerous shadowy hacking group known only as Dark Army. Meanwhile, Elliot's childhood and only friend, Angela, who blames E-Corp for the death of their parents, tries to take down E-Corp legally by joining their ranks and trying to dig up evidence of their corruption from the inside. A wild card in this scheme becomes Tyrell Wellick, an unhinged psychopathic E-Corp yuppie, originally from Scandinavia, who has a very unusual relationship with his dominant and ambitious wife Joanna. After many twists and turns, Mr. Robot's plan is finally put in motion - with catastrophic (un)intended results. But that's just the end of the beginning of the real story."
Star Trek,"Action, Adventure, Sci-Fi",8.4,"On the day of James T. Kirk's birth, his father dies on his damaged starship in a last stand against a Romulan mining vessel looking for Ambassador Spock, who in this time, has grown on Vulcan disdained by his neighbors for his half-human heritage. 25 years later, James T. Kirk has grown into a young rebellious troublemaker. Challenged by Captain Christopher Pike to realize his potential in Starfleet, he comes to annoy academy instructors like Commander Spock. Suddenly, there is an emergency on Vulcan and the newly-commissioned USS Enterprise is crewed with promising cadets like Nyota Uhura, Hikaru Sulu, Pavel Chekov and even Kirk himself, thanks to Leonard McCoy's medical trickery. Together, this crew will have an adventure in the final frontier where the old legend is altered forever as a new version of the legend begins."
Dead to Me,"Comedy, Crime, Drama",8.0,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
Truth Be Told,"Crime, Drama, Mystery",7.1,"True crime podcaster Poppy Parnell is called to investigate the case of convicted killer Warren Cave, a man she incriminated after he murdered the father of two identical twins. Soon, Parnell must decide where the lines between guilty and innocent lie when Cave confesses to the fact that he was framed for the crime."
Fleabag,"Comedy, Drama",8.7,"A dry-witted woman, known only as Fleabag, has no filter as she navigates life and love in London while trying to cope with tragedy. The angry, grief-riddled woman tries to heal while rejecting anyone who tries to help her, but Fleabag continues to keep up her bravado through it all. Comic actress Phoebe Waller-Bridge stars as the titular character on the series, which is based on Waller-Bridge's 2013 one-woman show of the same name."
1899,"Drama, Horror, Mystery",7.4,"The whole European angle was very important for us, not only story wise but also the way we were going to produce it. It really had to be a European collaboration, not just cast but also crew. We felt that with the past years of Europe being on the decline, we wanted to give a counterpoint to Brexit, and to nationalism rising in different countries, to go back to that idea of Europe and Europeans working and creating together."
Atlanta,"Comedy, Drama, Music",8.6,"Atlanta is one of the top cities for young rappers looking to make a name for themselves in the business. Among those up-and-comers is Alfred Miles, a hot new artist who is trying to understand the line between real life and street life. He is managed by his cousin, Earn, who gets caught up in the local rap scene and his cousin's career after returning home to the ATL. Earn does whatever he can to try to get Alfred's career to the next level. Darius, the rapper's right-hand man and visionary, is also in Alfred's entourage. When Earn isn't busy managing his cousin's career, he spends much of his time with best friend Vanessa, who is also the mother of his daughter."
Sex and the City,"Comedy, Drama, Romance",7.3,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
CSI: Crime Scene Investigation,"Crime, Drama, Mystery",7.7,"This show follows the nights of the detectives working at the Las Vegas Police Department Crime Scene Investigations bureau. Being the second busiest crime lab in America, CSI officers use the best scientific and technical methods to solve puzzles and catch criminals."
So Help Me Todd,Drama,7.4,"A talented P.I. agrees to work as the in-house investigator for his mother, who is reeling from the recent dissolution of her marriage."
Murdoch Mysteries,"Crime, Drama, Mystery",8.2,"In the late 1890s, police Detective William Murdoch takes a new, more scientific approach to solving crimes. Assisted by coroner Dr. Julia Ogden and Constable George Crabtree, Murdoch introduces such concepts as finger marks and lie detecting machines. He has the support of his somewhat doubtful superior, Inspector Brackenreid, though at times, even he finds Murdoch's methods - and claims - somewhat astounding."
Guillermo del Toro's Cabinet of Curiosities,"Drama, Horror, Mystery",7.0,"Guillermo del Toro's Netflix horror anthology series ""Cabinet of Curiosities"" (originally titled ""Guillermo del Toro Presents 10 After Midnight"") has added F. Murray Abraham, Ben Barnes, Elpidia Carrillo, Essie Davis, Hannah Galway, Crispin Glover, Demetrius Grosse, David Hewlett, Andrew Lincoln, Tim Blake Nelson, Luke Roberts, Sebastian Roché, Glynn Turman and Peter Weller to its cast. The prolific Academy-Award-winning Mexican filmmaker behind ""Pan's Labyrinth,"" ""Hellboy,"" ""The Shape of Water"" and ""Pacific Rim"" will executive produce, co-showrun and direct the series - described as a curation of eight unprecedented and genre-defining sinister narratives meant to challenge traditional notions of horror, ranging from the macabre to magical, gothic to grotesque or classically creepy. Two of the eight tales are original works by del Toro."
Twin Peaks,"Crime, Drama, Mystery",8.8,The body of a young girl (Laura Palmer) is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.
Cheers,"Comedy, Drama",7.9,"The lives of the disparate group of employees and patrons at a Boston watering hole called ""Cheers"" over eleven years is presented. Over much of this period, Sam Malone (Ted Danson), a womanizing ex-Boston Red Sox pitcher and an alcoholic, owns the bar, its purchase and this life, which was his salvation from his alcoholism, which was largely the cause of the end of his baseball career. He ends up having a love-hate relationship with intellectual Diane Chambers (Shelley Long), who he hired as a waitress and whose cultured mentality is foreign to anyone else in the bar. He also has an evolving relationship with Rebecca Howe (Kirstie Alley), who managed the bar for the Lily Corporation, which bought it from Sam, but whose outward business savvy belied the fact that she was a mess of a woman who was struggling to find her place in life. The regular patrons are largely a bunch of self-identified losers, who bond because of their shared place in life, and because ""Cheers"" is their home away from home, and in many ways more a home than their actual home as witnessed by the fact that there ""everybody knows your name""."
24,"Action, Crime, Drama",8.4,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?"
Poirot,"Crime, Drama, Mystery",8.6,"This whodunit series based on Dame Agatha Christie's crime novels and short stories, was named after its star sleuth, Hercule Poirot (David Suchet), a famous former Belgian Policeman, who settled for good in London after the war, soon so famous as an infallible private detective that he becomes a society figure in his own right. In each episode, Poirot gets to solve a crime mystery, mostly murder(s), for a paying client or otherwise catching his attention, generally along with his faithful English sidekick Captain Hastings (Hugh Fraser) and/or his Scotland yard ""friendly rival"" Chief Inspector Japp (Philip Jackson)."
The Sex Lives of College Girls,Comedy,7.8,"""The Sex Lives of College Girls"" follows four college roommates as they arrive at New England's prestigious Essex College. A bundle of contradictions and hormones, the girls are equal parts lovable and infuriating as they navigate their new, free lives on campus."
The Resident,Drama,7.8,"In New York, Dr. Juliet Bliss Devereau of the Brooklyn General Hospital has ended her relationship with her boyfriend Jack and is seeking an apartment in Brooklyn to live alone. She finds a bargain in an old apartment building owned by the handsome and lonely Max and one night she misinterprets his signals and dates him. However she concludes that it is too soon to have a love affair... but is that really the end of it?"
Stargate SG-1,"Action, Adventure, Drama",8.4,"General Hammond summons Colonel Jack O'Neill out of retirement to embark on a secret rescue mission. O'Neill confesses that he disobeyed orders to destroy the Stargate on Planet Abydos, and that scientist Daniel Jackson may still be alive. Arriving on Abydos with his team, O'Neill meets up once again with the scientist, who has discovered a giant elaborate cartouche in hieroglyphics. All signs point to the fact that this is a map of many Stargates that exist throughout the galaxy - a development that makes the dream of the SG-1 team to travel throughout the universe in time a reality."
Malcolm in the Middle,"Comedy, Family",8.1,"An offbeat, laugh track-lacking sitcom about a bizarrely dysfunctional family, the center of which is Malcolm, the middle of the two brothers who still live at home. His eldest (and favorite) sibling, Francis, boards at military school because his parents believe it will reform him and keep him out of trouble. Malcolm often has a hard time coping with his family life, but he has more troubles to contend with when he starts receiving special treatment at school after being diagnosed as an intellectually advanced genius."
Superstore,Comedy,7.8,A look at the lives of employees at a big box store.
Bosch,"Crime, Drama",8.5,"Harry Bosch is an irreverent homicide detective in Los Angeles. Like any good protagonist he has problems with authority, follows his gut and bends a few rules while achieving the best solved case rate in all of California. Whatever situations the writers put him into he will undoubtedly be entertaining as he pursues justice."
Physical: 100,"Game-Show, Reality-TV",7.7,One hundred contestants in top physical shape compete in a series of grueling challenges to claim the honor - and cash reward - as the last one standing.
Chuck,"Action, Comedy, Drama",8.2,"Since geeky Chuck accidentally became the mental host of the Intersect, an unprecedentedly powerful computer mind containing all information available to the US government, he's a primordial national security asset and risk. So CIA and NSA each appoint a top agent to guard Chuck, and often get involved with him in spy adventures. Meanwhile his identity must be kept secret from Chuck's sister, her perfect partner Devon, both surgeons, and Chuck's goofy colleagues in Buy More, the Burbank electronics store where he works as a cover."
Spartacus: Blood and Sand,"Action, Adventure, Biography",8.5,A four part comic book adaptation of the first season of Spartacus: Blood and Sand.
"Love, Death & Robots","Animation, Short, Action",8.4,"Love, Death + Robots is a 5-time Emmy winning animation anthology series produced by Blur Studio. Launched in March of 2019 on Netflix, Love, Death + Robots delivers a variety of style and story unlike anything else, spanning the genres of science fiction, fantasy, comedy, horror, and more. Created by Tim Miller with David Fincher as executive producer, the series brings together a global team of directors and animation studios to push and expand the medium. Eighteen shorts in all, Love, Death + Robots has something for everyone."
Doom Patrol,"Action, Adventure, Comedy",7.8,"A re-imagining of one of DC's most beloved group of outcast Super Heroes: Robotman, Negative Man, Elasti-Girl and Crazy Jane, led by modern-day mad scientist Dr. Niles Caulder (The Chief). The Doom Patrol's members each suffered horrible accidents that gave them superhuman abilities - but also left them scarred and disfigured. Traumatized and downtrodden, the team found purpose through The Chief, who brought them together to investigate the weirdest phenomena in existence - and to protect Earth from what they find. Part support group, part Super Hero team, the Doom Patrol is a band of super-powered freaks who fight for a world that wants nothing to do with them. Picking up after the events of Titans, Doom Patrol will find these reluctant heroes in a place they never expected to be, called to action by none other than Cyborg, who comes to them with a mission hard to refuse, but with a warning that is hard to ignore: their lives will never, ever be the same."
Gossip Girl,"Drama, Romance",7.5,"Gossip Girl follows the lives of privileged teenagers on the upper east side. Serena Van Der Woodsen is a blonde and beautiful socialite. Everyone knows Serena. Blair Waldorf is Serena's best friend but it's always about Serena not Blair. Nate Archibald is Blair's boyfriend but ever since Serena came back from boarding school Nate has been acting strange. Chuck Bass is a rich and arrogant person. Daniel Humphrey, a lonely boy from Brooklyn, NY, who nobody knows. Follow the lives of this guilty pleasure show."
Invincible,"Animation, Action, Adventure",8.7,"The son of Earth's most powerful superhero is about to become something greater than himself: something bold, something universal, something - Invincible. From the comics to the screen, Invincible follows Mark Grayson's journey of becoming Earth's next great defender after his father, Nolan Grayson: also known as Omni-Man."
